timestamp,test-class,test-method,time,description,result
2021-05-29 14:10:55.932,acme.testing.administrator.updateAccount.AuthenticatedUpdateAccountTest,updatePositiveAccount,6221,"[1] name=José Manuel, surname=Bejarano, email=josemabp13@gmail.com",OK
2021-05-29 14:11:02.263,acme.testing.administrator.updateAccount.AuthenticatedUpdateAccountTest,updatePositiveAccount,6059,"[2] name=Asunción, surname=Pereira, email=asuperado@us.es",OK
2021-05-29 14:11:08.583,acme.testing.administrator.updateAccount.AuthenticatedUpdateAccountTest,updatePositiveAccount,6058,"[3] name=Pablo, surname=Vega, email=lopez@hotmail.com",OK
2021-05-29 14:11:14.118,acme.testing.administrator.updateAccount.AuthenticatedUpdateAccountTest,updateNegativeAccount,5267,"[1] name=eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, surname=eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, email=evfwvbfffffffffvfwbvfvve",OK
2021-05-29 14:11:19.454,acme.testing.administrator.updateAccount.AuthenticatedUpdateAccountTest,updateNegativeAccount,5091,"[2] name=, surname=null, email=null",OK
2021-05-29 14:11:24.822,acme.testing.administrator.updateAccount.AuthenticatedUpdateAccountTest,updateNegativeAccount,5115,"[3] name=, surname=null, email=a",OK
2021-05-29 14:11:45.275,acme.testing.manager.task.ManagerTaskCreateTest,create,11710,"[1] recordIndex=0, publica=false, titulo=Implementacion entidad task, periodoEjecucionInicio=2021/09/13 10:39, periodoEjecucionFinal=2021/09/13 16:23, cargaTrabajo=1.00, descripcion=implementar task con sus atributos, enlace=https://stackoverflow.com/",OK
2021-05-29 14:11:56.071,acme.testing.manager.task.ManagerTaskCreateTest,create,10563,"[2] recordIndex=1, publica=false, titulo=Implementacion entidad shout, periodoEjecucionInicio=2021/07/18 18:56, periodoEjecucionFinal=2021/07/18 22:23, cargaTrabajo=2.00, descripcion=implementar shout con sus atributos, enlace=http://happybirthday.com",OK
2021-05-29 14:12:06.656,acme.testing.manager.task.ManagerTaskCreateTest,create,10330,"[3] recordIndex=2, publica=true, titulo=Implementacion entidad announcement, periodoEjecucionInicio=2021/11/03 05:07, periodoEjecucionFinal=2021/11/03 12:07, cargaTrabajo=7.00, descripcion=implementar announcement con sus atributos, enlace=https://stackoverflow.com/",OK
2021-05-29 14:12:10.55,acme.testing.manager.task.ManagerTaskCreateTest,createNegative2,3638,"createNegative2()",OK
